[32m[I 2025-01-17 18:26:57,134][0m A new study created in memory with name: no-name-94544f8e-52d5-44c6-a150-4df36c61bf11[0m
[32m[I 2025-01-17 18:27:21,771][0m Trial 0 finished with value: 0.11176836490631104 and parameters: {'observation_period_num': 180, 'train_rates': 0.9819964165360282, 'learning_rate': 0.0003265347071717479, 'batch_size': 241, 'step_size': 2, 'gamma': 0.8308205912991815}. Best is trial 0 with value: 0.11176836490631104.[0m
[32m[I 2025-01-17 18:28:04,926][0m Trial 1 finished with value: 0.1553744998774998 and parameters: {'observation_period_num': 144, 'train_rates': 0.93159337959032, 'learning_rate': 2.8942586600149763e-06, 'batch_size': 128, 'step_size': 13, 'gamma': 0.9531736870558881}. Best is trial 0 with value: 0.11176836490631104.[0m
[32m[I 2025-01-17 18:28:25,630][0m Trial 2 finished with value: 0.32320671982407956 and parameters: {'observation_period_num': 77, 'train_rates': 0.6809874810833006, 'learning_rate': 3.645679713912821e-06, 'batch_size': 228, 'step_size': 5, 'gamma': 0.9004947931522918}. Best is trial 0 with value: 0.11176836490631104.[0m
[32m[I 2025-01-17 18:30:54,336][0m Trial 3 finished with value: 0.1994179980728347 and parameters: {'observation_period_num': 140, 'train_rates': 0.6738141272189418, 'learning_rate': 1.471227843335501e-06, 'batch_size': 28, 'step_size': 10, 'gamma': 0.9126365843838165}. Best is trial 0 with value: 0.11176836490631104.[0m
[32m[I 2025-01-17 18:31:17,685][0m Trial 4 finished with value: 0.17837836043671498 and parameters: {'observation_period_num': 129, 'train_rates': 0.8479882851275353, 'learning_rate': 1.0116042513809255e-05, 'batch_size': 223, 'step_size': 2, 'gamma': 0.901066145272082}. Best is trial 0 with value: 0.11176836490631104.[0m
[32m[I 2025-01-17 18:32:46,779][0m Trial 5 finished with value: 0.3702427513910941 and parameters: {'observation_period_num': 174, 'train_rates': 0.8025830455687902, 'learning_rate': 4.91511198320792e-06, 'batch_size': 53, 'step_size': 2, 'gamma': 0.7830811296835282}. Best is trial 0 with value: 0.11176836490631104.[0m
[32m[I 2025-01-17 18:34:35,360][0m Trial 6 finished with value: 0.006519353704061359 and parameters: {'observation_period_num': 117, 'train_rates': 0.8420851688420429, 'learning_rate': 0.00024743256791465303, 'batch_size': 45, 'step_size': 6, 'gamma': 0.8893222592005595}. Best is trial 6 with value: 0.006519353704061359.[0m
[32m[I 2025-01-17 18:35:01,854][0m Trial 7 finished with value: 0.7394065447448103 and parameters: {'observation_period_num': 27, 'train_rates': 0.7435551924730459, 'learning_rate': 1.029076959467062e-06, 'batch_size': 191, 'step_size': 8, 'gamma': 0.7689437203866974}. Best is trial 6 with value: 0.006519353704061359.[0m
[32m[I 2025-01-17 18:38:16,986][0m Trial 8 finished with value: 0.021797753070381908 and parameters: {'observation_period_num': 248, 'train_rates': 0.8931129134487765, 'learning_rate': 0.0001724074071267298, 'batch_size': 25, 'step_size': 1, 'gamma': 0.9171684581086588}. Best is trial 6 with value: 0.006519353704061359.[0m
[32m[I 2025-01-17 18:39:03,042][0m Trial 9 finished with value: 0.4657776910123102 and parameters: {'observation_period_num': 121, 'train_rates': 0.7775783992527787, 'learning_rate': 7.5506700092918676e-06, 'batch_size': 79, 'step_size': 1, 'gamma': 0.8184782841134572}. Best is trial 6 with value: 0.006519353704061359.[0m
[32m[I 2025-01-17 18:39:41,927][0m Trial 10 finished with value: 0.12404861331456882 and parameters: {'observation_period_num': 6, 'train_rates': 0.6215428917577646, 'learning_rate': 0.0009472225143701112, 'batch_size': 110, 'step_size': 7, 'gamma': 0.966791921657295}. Best is trial 6 with value: 0.006519353704061359.[0m
